well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
44,No Data.,D8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,No Data.,D9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,No Data.,D10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,No Data.,D11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,No Data.,D12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,No Data.,E1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,No Data.,E2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,No Data.,E3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,No Data.,E4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,No Data.,E5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,No Data.,E6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,No Data.,E7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,No Data.,E8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,No Data.,E9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,No Data.,E10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,No Data.,E11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No Data.,E12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,No Data.,F1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,No Data.,F2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,No Data.,F3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,No Data.,F4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,No Data.,F5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,No Data.,F6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,No Data.,F7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,No Data.,F8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,No Data.,F9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,No Data.,F10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,No Data.,F11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,No Data.,F12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,No Data.,G1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,No Data.,G2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,No Data.,G3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,No Data.,G4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,No Data.,G5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,No Data.,G6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,No Data.,G7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,No Data.,G8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,No Data.,G9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,No Data.,G10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,No Data.,G11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,No Data.,G12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,No Data.,H1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,No Data.,H2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,No Data.,H3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,No Data.,H4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,No Data.,H5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,No Data.,H6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,No Data.,H7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,No Data.,H8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,No Data.,H9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,No Data.,H10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,No Data.,H11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,No Data.,H12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
